https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,,,2017-09-11 08:09:00
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=902&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Pengajaran Fisika (902),2017-09-11 08:09:04
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=302&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Fisika (302),2017-09-11 08:09:12
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=202&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Fisika (202),2017-09-11 08:09:16
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=102&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Fisika (102),2017-09-11 08:09:23
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=901&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Pengajaran Matematika (901),2017-09-11 08:09:27
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=301&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Matematika (301),2017-09-11 08:09:33
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=201&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Matematika (201),2017-09-11 08:09:39
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=101&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Matematika (101),2017-09-11 08:09:46
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=306&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Biologi (306),2017-09-11 08:09:52
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=206&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Biologi (206),2017-09-11 08:09:59
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=106&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Biologi (106),2017-09-11 08:10:04
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=104&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Mikrobiologi (104),2017-09-11 08:10:10
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=160&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Tahap Tahun Pertama FMIPA (160),2017-09-11 08:10:16
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=209&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Sains Komputasi (209),2017-09-11 08:10:23
https://six.akademik.itb.ac.id/publik/daftarkelas.php?ps=208&semester=1&tahun=2016&th_kur=2013,https://six.akademik.itb.ac.id/publik/displayprodikelas.php?semester=1&tahun=2016&th_kur=2013,Aktuaria (208),2017-09-11 08:10:29
