from_table,sr_alternate,sr_asciiname,sr_names,sr_scores
DI Yogyakarta,"DI Yogyakarta,DIY,Daerah Istimewa Yogyakarta,Djogjakarta,Djokja,Djokjakarta,Dzhodzhakarta,Dzhok'jakarta,Dzhokjakarta,Dzogdzakarta,Dzogjakarta,Džogjakarta,Gionkiakarta,JOG,Jogjakarta,Jogjakarto,Jogyakarta,Jokjakarta,Jokyakarta,Kota Yogyakarta,Kuta Yogyakarta,Kutha Ngayogyakarta,Special Region of Yogyakarta,Yogyakarta,jogujakaruta shi,ri re,yog-yakaleuta,yogyakarta,ywgyakarta,ywjyakrta,yxk ya kar ta,Γιογκιακάρτα,Џогџакарта,Джоджакарта,Джокьякарта,Джокякарта,يوجياكرتا,یوگیاکارتا,योग्यकर्ता,योग्यकार्ता,ยอกยาการ์ตา,ჯოკიაკარტა,ジョグジャカルタ市,日惹,욕야카르타",Yogyakarta,Yogyakarta,2.6650257
Jawa Timur,"Aust-Java,Cava Rocvetisi,Cava Rocvetışi,Daerah Tingkat I Djawa Timur,Dogu Cava,Dong Java,Dorno Zhava,Doğu Cava,Dwyrain Jawa,East Java,Giava Orientale,Istochna Java,Itae-Jaava,Itä-Jaava,Iztochna Java,Java Oriental,Java Timur,Java oriental,Jawa Timu,Jawa Timur,Jawa Wetan,Jawa Wschodnia,Jawa Wétan,Oost-Java,Orienta Javo,Ost-Java,Propinsi Djawa Timur,Propinsi Jawa Timur,Provincia Java de Est,Provinsi Jawa Timur,Rytu Java,Rytų Java,Silangang Haba,Sinirangan nga Java,Skhidna Java,Tang Jawa,Tung Chau-oa-sen,Tûng Cháu-ôa-sén,Vostochnaja Java,Vychodni Java,Východní Jáva,Wschodnia Jawa,aghmosavleti iava,dong zhao wa sheng,dongjawa zhou,jawatimuleu ju,jawh shrqy,jawt alshrqyt,mshrqy jawa,purva java,Øst-Java,Đông Java,Восточная Ява,Дорно Жава,Източна Ява,Источна Јава,Східна Ява,جاوة الشرقية,جاوه شرقی,صوبہ چڑھدا جاوا,مشرقی جاوا,पूर्व जावा,აღმოსავლეთი იავა,东爪哇省,東ジャワ州,자와티무르 주",Jawa Timur,Jawa Timur,9.798029
Banten,"Bantam,Bantan,Bantehn,Banten,Bantenas,Banteno,Bantén,Propinsi Banten,Provinsi Banten,Van-tan-sen,Van-tan-sén,banten ju,banten zhou,bantena,bantn,canghwad ban ten,wan dan sheng,Бантен,Бантэн,بانتن,بانٹین,صوبہ بانٹین,बांतेन,จังหวัดบันเตน,ბანტენი,バンテン州,万丹省,반텐 주",Banten,Banten,2.0175338
B a l i,NaT,NaT,NaT,0.0
Nusa Tenggara Barat,,Museum Nusa Tenggara Barat,Museum Nusa Tenggara Barat,12.525984
Nusa Tenggara Timur,"Aust-Nusa Tenggara,Daerah Tingkat I Nusa Tenggara Timur,East Nusa Tenggara,Nusa Tenggara Timur,Ost-Nusa Tenggara,Propinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Øst-Nusa Tenggara",Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,12.858634
Kalimantan Barat,"Borneo Zachodnie,Daerah Tingkat I Kalimantan Barat,Kalimantan Barat,Kalimantan Kulon,Kalimantan occidental,Laensi-Kalimantan,Länsi-Kalimantan,Propinsi Kalimantan Barat,Provinsi Kalimantan Barat,Tay Kalimantan,Tây Kalimantan,Vakaru Kalimantanas,Vakarų Kalimantanas,West Kalimantan,West-Kalimantan,kalmntan alghrbyt,xi jia li man dan sheng,xikarimantan zhou,كالمنتان الغربية,西カリマンタン州,西加里曼丹省",Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,9.1016655
Kalimantan Tengah,"Central Kalimantan,Daerah Tingkat I Kalimantan Tengah,Kalimantan Tengah,Propinsi Kalimantan Tengah,Provinsi Kalimantan Tengah",Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,8.77803
Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,8.96102
Kalimantan Timur,"Aust-Kalimantan,Borneo Wschodnie,Daerah Tingkat I Kalimantan Timur,Dong Kalimantan,East Kalimantan,Itae-Kalimantan,Itä-Kalimantan,Kalimantan Timur,Kalimantan Wetan,Kalimantan Wétan,Kalimantan oriental,Oost-Kalimantan,Ost-Kalimantan,Propinsi Kalimantan Timur,Provinsi Kalimantan Timur,canghwad kali man tan tawan xxk,dong jia li man dan sheng,dongkarimantan zhou,kalmntan alshrqyt,Øst-Kalimantan,Đông Kalimantan,كالمنتان الشرقية,จังหวัดกาลีมันตันตะวันออก,東カリマンタン州,東加里曼丹省",Provinsi Kalimantan Timur,Provinsi Kalimantan Timur,8.703125
Kalimantan Utara,"Kalimantan Utara,North Kalimantan",North Kalimantan,North Kalimantan,8.920731
